BANK	Panel_ID	Panel	Organism 
0036	CarbaNP-05	Gram Negative Carbapenemase Detection Panel	Acinetobacter baumannii
0037	CarbaNP-06	Gram Negative Carbapenemase Detection Panel	Acinetobacter baumannii
0038	CarbaNP-07	Gram Negative Carbapenemase Detection Panel	Enterobacter cloacae
0039	CarbaNP-08	Gram Negative Carbapenemase Detection Panel	Klebsiella pneumoniae
0040	CarbaNP-09	Gram Negative Carbapenemase Detection Panel	Klebsiella pneumoniae
0041	CarbaNP-10	Gram Negative Carbapenemase Detection Panel	Klebsiella pneumoniae
0042	CarbaNP-11	Gram Negative Carbapenemase Detection Panel	Klebsiella pneumoniae
0043	CarbaNP-12	Gram Negative Carbapenemase Detection Panel	Klebsiella pneumoniae
0044	CarbaNP-13	Gram Negative Carbapenemase Detection Panel	Klebsiella pneumoniae
0045	CarbaNP-14	Gram Negative Carbapenemase Detection Panel	Acinetobacter baumannii
0046	CarbaNP-15	Gram Negative Carbapenemase Detection Panel	Klebsiella pneumoniae
0047	CarbaNP-16	Gram Negative Carbapenemase Detection Panel	Klebsiella pneumoniae
0048	CarbaNP-17	Gram Negative Carbapenemase Detection Panel	Escherichia coli
0049	CarbaNP-18	Gram Negative Carbapenemase Detection Panel	Klebsiella pneumoniae
0050	CarbaNP-19	Gram Negative Carbapenemase Detection Panel	Enterobacter cloacae
0051	CarbaNP-20	Gram Negative Carbapenemase Detection Panel	Klebsiella ozaenae
0052	CarbaNP-21	Gram Negative Carbapenemase Detection Panel	Acinetobacter baumannii
0053	CarbaNP-22	Gram Negative Carbapenemase Detection Panel	Enterobacter cloacae
0054	CarbaNP-23	Gram Negative Carbapenemase Detection Panel	Pseudomonas aeruginosa
0055	CarbaNP-24	Gram Negative Carbapenemase Detection Panel	Escherichia coli
0056	CarbaNP-25	Gram Negative Carbapenemase Detection Panel	Acinetobacter baumannii
0057	CarbaNP-26	Gram Negative Carbapenemase Detection Panel	Morganella morganii
0058	CarbaNP-27	Gram Negative Carbapenemase Detection Panel	Escherichia coli
0059	CarbaNP-28	Gram Negative Carbapenemase Detection Panel	Proteus mirabilis
0060	CarbaNP-29	Gram Negative Carbapenemase Detection Panel	Enterobacter cloacae
0061	CarbaNP-30	Gram Negative Carbapenemase Detection Panel	Escherichia coli
0062	CarbaNP-31	Gram Negative Carbapenemase Detection Panel	Enterobacter aerogenes
0063	CarbaNP-32	Gram Negative Carbapenemase Detection Panel	Acinetobacter baumannii
0064	CarbaNP-33	Gram Negative Carbapenemase Detection Panel	Pseudomonas aeruginosa
0065	CarbaNP-34	Gram Negative Carbapenemase Detection Panel	Enterobacter cloacae
0066	CarbaNP-35	Gram Negative Carbapenemase Detection Panel	Klebsiella pneumoniae
0067	CarbaNP-36	Gram Negative Carbapenemase Detection Panel	Escherichia coli
0068	CarbaNP-37	Gram Negative Carbapenemase Detection Panel	Klebsiella pneumoniae
0069	CarbaNP-38	Gram Negative Carbapenemase Detection Panel	Escherichia coli
0070	CarbaNP-39	Gram Negative Carbapenemase Detection Panel	Acinetobacter baumannii
0071	CarbaNP-40	Gram Negative Carbapenemase Detection Panel	Klebsiella oxytoca
0072	CarbaNP-41	Gram Negative Carbapenemase Detection Panel	Enterobacter cloacae
0073	CarbaNP-42	Gram Negative Carbapenemase Detection Panel	Enterobacter cloacae
0074	CarbaNP-43	Gram Negative Carbapenemase Detection Panel	Enterobacter aerogenes
0075	CarbaNP-44	Gram Negative Carbapenemase Detection Panel	Klebsiella pneumoniae
0076	CarbaNP-45	Gram Negative Carbapenemase Detection Panel	Klebsiella pneumoniae
0077	CarbaNP-46	Gram Negative Carbapenemase Detection Panel	Escherichia coli
0078	CarbaNP-47	Gram Negative Carbapenemase Detection Panel	Acinetobacter baumannii
0079	CarbaNP-48	Gram Negative Carbapenemase Detection Panel	Klebsiella pneumoniae
0080	CarbaNP-49	Gram Negative Carbapenemase Detection Panel	Klebsiella pneumoniae
0081	CarbaNP-50	Gram Negative Carbapenemase Detection Panel	Escherichia coli
0082	CarbaNP-51	Gram Negative Carbapenemase Detection Panel	Providencia rettgeri
0083	CarbaNP-52	Gram Negative Carbapenemase Detection Panel	Acinetobacter baumannii
0084	CarbaNP-53	Gram Negative Carbapenemase Detection Panel	Escherichia coli
0085	CarbaNP-54	Gram Negative Carbapenemase Detection Panel	Escherichia coli
0086	CarbaNP-55	Gram Negative Carbapenemase Detection Panel	Escherichia coli
0087	CarbaNP-56	Gram Negative Carbapenemase Detection Panel	Klebsiella pneumoniae
0088	CarbaNP-57	Gram Negative Carbapenemase Detection Panel	Acinetobacter baumannii
0089	CarbaNP-58	Gram Negative Carbapenemase Detection Panel	Escherichia coli
0090	CarbaNP-59	Gram Negative Carbapenemase Detection Panel	Pseudomonas aeruginosa
0091	CarbaNP-60	Gram Negative Carbapenemase Detection Panel	Serratia marcescens
0092	CarbaNP-61	Gram Negative Carbapenemase Detection Panel	Pseudomonas aeruginosa
0093	CarbaNP-62	Gram Negative Carbapenemase Detection Panel	Enterobacter cloacae
0094	CarbaNP-63	Gram Negative Carbapenemase Detection Panel	Pseudomonas aeruginosa
0095	CarbaNP-64	Gram Negative Carbapenemase Detection Panel	Pseudomonas aeruginosa
0096	CarbaNP-65	Gram Negative Carbapenemase Detection Panel	Klebsiella ozaenae
0097	CarbaNP-66	Gram Negative Carbapenemase Detection Panel	Klebsiella pneumoniae
0098	CarbaNP-67	Gram Negative Carbapenemase Detection Panel	Klebsiella pneumoniae
0099	CarbaNP-68	Gram Negative Carbapenemase Detection Panel	Serratia marcescens
0100	CarbaNP-69	Gram Negative Carbapenemase Detection Panel	Pseudomonas aeruginosa
0101	CarbaNP-70	Gram Negative Carbapenemase Detection Panel	Acinetobacter baumannii
0102	CarbaNP-71	Gram Negative Carbapenemase Detection Panel	Acinetobacter baumannii
0103	CarbaNP-72	Gram Negative Carbapenemase Detection Panel	Pseudomonas aeruginosa
0104	CarbaNP-73	Gram Negative Carbapenemase Detection Panel	Escherichia coli
0105	CarbaNP-74	Gram Negative Carbapenemase Detection Panel	Pseudomonas aeruginosa
0106	CarbaNP-75	Gram Negative Carbapenemase Detection Panel	Klebsiella pneumoniae
0107	CarbaNP-76	Gram Negative Carbapenemase Detection Panel	Klebsiella pneumoniae
0108	CarbaNP-77	Gram Negative Carbapenemase Detection Panel	Pseudomonas aeruginosa
0109	CarbaNP-78	Gram Negative Carbapenemase Detection Panel	Klebsiella pneumoniae
0110	CarbaNP-79	Gram Negative Carbapenemase Detection Panel	Pseudomonas aeruginosa
0111	CarbaNP-80	Gram Negative Carbapenemase Detection Panel	Pseudomonas aeruginosa
0112	CRE-01	Enterobacteriaceae Carbapenemase Diversity Panel	Klebsiella pneumoniae
0113	CRE-02	Enterobacteriaceae Carbapenemase Diversity Panel	Klebsiella pneumoniae
0114	CRE-03	Enterobacteriaceae Carbapenemase Diversity Panel	Escherichia coli
0115	CRE-04	Enterobacteriaceae Carbapenemase Diversity Panel	Klebsiella pneumoniae
0116	CRE-05	Enterobacteriaceae Carbapenemase Diversity Panel	Citrobacter freundii
0117	CRE-06	Enterobacteriaceae Carbapenemase Diversity Panel	Klebsiella pneumoniae
0118	CRE-07	Enterobacteriaceae Carbapenemase Diversity Panel	Escherichia coli
0119	CRE-08	Enterobacteriaceae Carbapenemase Diversity Panel	Escherichia coli
0120	CRE-09	Enterobacteriaceae Carbapenemase Diversity Panel	Klebsiella pneumoniae
0121	CRE-10	Enterobacteriaceae Carbapenemase Diversity Panel	Serratia marcescens
0122	CRE-11	Enterobacteriaceae Carbapenemase Diversity Panel	Serratia marcescens
0123	CRE-12	Enterobacteriaceae Carbapenemase Diversity Panel	Serratia marcescens
0124	CRE-13	Enterobacteriaceae Carbapenemase Diversity Panel	Serratia marcescens
0125	CRE-14	Enterobacteriaceae Carbapenemase Diversity Panel	Klebsiella pneumoniae
0126	CRE-15	Enterobacteriaceae Carbapenemase Diversity Panel	Klebsiella pneumoniae
0127	CRE-16	Enterobacteriaceae Carbapenemase Diversity Panel	Salmonella Senftenberg
0128	CRE-17	Enterobacteriaceae Carbapenemase Diversity Panel	Escherichia coli
0129	CRE-18	Enterobacteriaceae Carbapenemase Diversity Panel	Klebsiella pneumoniae
0130	CRE-19	Enterobacteriaceae Carbapenemase Diversity Panel	Serratia marcescens
0131	CRE-20	Enterobacteriaceae Carbapenemase Diversity Panel	Serratia marcescens
0132	CRE-21	Enterobacteriaceae Carbapenemase Diversity Panel	Enterobacter cloacae group
0133	CRE-22	Enterobacteriaceae Carbapenemase Diversity Panel	Morganella morganii
0134	CRE-23	Enterobacteriaceae Carbapenemase Diversity Panel	Raoultella ornithinolytica
0135	CRE-24	Enterobacteriaceae Carbapenemase Diversity Panel	Klebsiella pneumoniae
0136	CRE-25	Enterobacteriaceae Carbapenemase Diversity Panel	Enterobacter cloacae
0137	CRE-26	Enterobacteriaceae Carbapenemase Diversity Panel	Escherichia coli
0138	CRE-27	Enterobacteriaceae Carbapenemase Diversity Panel	Klebsiella pneumoniae
0139	CRE-28	Enterobacteriaceae Carbapenemase Diversity Panel	Klebsiella pneumoniae
0140	CRE-29	Enterobacteriaceae Carbapenemase Diversity Panel	Klebsiella pneumoniae
0141	CRE-30	Enterobacteriaceae Carbapenemase Diversity Panel	Klebsiella pneumoniae
0142	CRE-31	Enterobacteriaceae Carbapenemase Diversity Panel	Klebsiella pneumoniae
0143	CRE-32	Enterobacteriaceae Carbapenemase Diversity Panel	Klebsiella pneumoniae
0144	CRE-33	Enterobacteriaceae Carbapenemase Diversity Panel	Kluyvera ascorbata
0145	CRE-34	Enterobacteriaceae Carbapenemase Diversity Panel	Klebsiella pneumoniae
0146	CRE-35	Enterobacteriaceae Carbapenemase Diversity Panel	Klebsiella pneumoniae
0147	CRE-36	Enterobacteriaceae Carbapenemase Diversity Panel	Klebsiella oxytoca
0148	CRE-37	Enterobacteriaceae Carbapenemase Diversity Panel	Klebsiella pneumoniae
0149	CRE-38	Enterobacteriaceae Carbapenemase Diversity Panel	Escherichia coli
0150	CRE-39	Enterobacteriaceae Carbapenemase Diversity Panel	Escherichia coli
0151	CRE-40	Enterobacteriaceae Carbapenemase Diversity Panel	Escherichia coli
0152	CRE-41	Enterobacteriaceae Carbapenemase Diversity Panel	Klebsiella pneumoniae
0153	CRE-42	Enterobacteriaceae Carbapenemase Diversity Panel	Klebsiella pneumoniae
0154	CRE-43	Enterobacteriaceae Carbapenemase Diversity Panel	Enterobacter cloacae
0155	CRE-44	Enterobacteriaceae Carbapenemase Diversity Panel	Proteus mirabilis
0156	CRE-45	Enterobacteriaceae Carbapenemase Diversity Panel	Proteus mirabilis
0157	CRE-46	Enterobacteriaceae Carbapenemase Diversity Panel	Citrobacter freundii
0158	CRE-47	Enterobacteriaceae Carbapenemase Diversity Panel	Klebsiella pneumoniae
0159	CRE-48	Enterobacteriaceae Carbapenemase Diversity Panel	Proteus mirabilis
0160	CRE-49	Enterobacteriaceae Carbapenemase Diversity Panel	Klebsiella pneumoniae
0161	CRE-50	Enterobacteriaceae Carbapenemase Diversity Panel	Enterobacter aerogenes
0162	CRE-51	Enterobacteriaceae Carbapenemase Diversity Panel	Escherichia coli
0163	CRE-52	Enterobacteriaceae Carbapenemase Diversity Panel	Enterobacter cloacae
0164	CRE-53	Enterobacteriaceae Carbapenemase Diversity Panel	Enterobacter cloacae complex
0273	ACI-01	Acinetobacter baumannii  Panel	Acinetobacter baumannii
0274	ACI-02	Acinetobacter baumannii  Panel	Acinetobacter baumannii
0275	ACI-03	Acinetobacter baumannii  Panel	Acinetobacter baumannii
0276	ACI-04	Acinetobacter baumannii  Panel	Acinetobacter baumannii complex
0277	ACI-05	Acinetobacter baumannii  Panel	Acinetobacter baumannii
0278	ACI-06	Acinetobacter baumannii  Panel	Acinetobacter baumannii
0279	ACI-07	Acinetobacter baumannii  Panel	Acinetobacter baumannii
0280	ACI-08	Acinetobacter baumannii  Panel	Acinetobacter baumannii
0281	ACI-09	Acinetobacter baumannii  Panel	Acinetobacter baumannii
0282	ACI-10	Acinetobacter baumannii  Panel	Acinetobacter baumannii
0283	ACI-11	Acinetobacter baumannii  Panel	Acinetobacter baumannii
0284	ACI-12	Acinetobacter baumannii  Panel	Acinetobacter baumannii
0285	ACI-13	Acinetobacter baumannii  Panel	Acinetobacter baumannii
0286	ACI-14	Acinetobacter baumannii  Panel	Acinetobacter baumannii
0287	ACI-15	Acinetobacter baumannii  Panel	Acinetobacter baumannii
0288	ACI-16	Acinetobacter baumannii  Panel	Acinetobacter baumannii
0289	ACI-17	Acinetobacter baumannii  Panel	Acinetobacter baumannii
0290	ACI-18	Acinetobacter baumannii  Panel	Acinetobacter baumannii
0291	ACI-19	Acinetobacter baumannii  Panel	Acinetobacter baumannii
0292	ACI-20	Acinetobacter baumannii  Panel	Acinetobacter baumannii
0293	ACI-21	Acinetobacter baumannii  Panel	Acinetobacter baumannii
0294	ACI-22	Acinetobacter baumannii  Panel	Acinetobacter baumannii
0295	ACI-23	Acinetobacter baumannii  Panel	Acinetobacter baumannii
0296	ACI-24	Acinetobacter baumannii  Panel	Acinetobacter baumannii
0297	ACI-25	Acinetobacter baumannii  Panel	Acinetobacter baumannii
0298	ACI-26	Acinetobacter baumannii  Panel	Acinetobacter baumannii
0299	ACI-27	Acinetobacter baumannii  Panel	Acinetobacter baumannii
0300	ACI-28	Acinetobacter baumannii  Panel	Acinetobacter baumannii
0301	ACI-29	Acinetobacter baumannii  Panel	Acinetobacter baumannii
0302	ACI-30	Acinetobacter baumannii  Panel	Acinetobacter baumannii
0303	ACI-31	Acinetobacter baumannii  Panel	Acinetobacter baumannii
0304	ACI-32	Acinetobacter baumannii  Panel	Acinetobacter baumannii
0305	ACI-33	Acinetobacter baumannii  Panel	Acinetobacter baumannii
0306	ACI-34	Acinetobacter baumannii  Panel	Acinetobacter baumannii
0307	ACI-35	Acinetobacter baumannii  Panel	Acinetobacter baumannii
0308	ACI-36	Acinetobacter baumannii  Panel	Acinetobacter baumannii
0309	ACI-37	Acinetobacter baumannii  Panel	Acinetobacter baumannii
0310	ACI-38	Acinetobacter baumannii  Panel	Acinetobacter baumannii
0311	ACI-39	Acinetobacter baumannii  Panel	Acinetobacter baumannii
0312	ACI-40	Acinetobacter baumannii  Panel	Acinetobacter baumannii
0313	ACI-41	Acinetobacter baumannii  Panel	Acinetobacter baumannii
0314	CAN-01	Drug Resistant Candida (species other than C. albicans ) Panel	Candida glabrata
0315	CAN-02	Drug Resistant Candida (species other than C. albicans ) Panel	Candida glabrata
0316	CAN-03	Drug Resistant Candida (species other than C. albicans ) Panel	Candida glabrata
0317	CAN-04	Drug Resistant Candida (species other than C. albicans ) Panel	Candida glabrata
0318	CAN-05	Drug Resistant Candida (species other than C. albicans ) Panel	Candida glabrata
0319	CAN-06	Drug Resistant Candida (species other than C. albicans ) Panel	Candida glabrata
0320	CAN-07	Drug Resistant Candida (species other than C. albicans ) Panel	Candida glabrata
0321	CAN-08	Drug Resistant Candida (species other than C. albicans ) Panel	Candida glabrata
0322	CAN-09	Drug Resistant Candida (species other than C. albicans ) Panel	Candida glabrata
0323	CAN-10	Drug Resistant Candida (species other than C. albicans ) Panel	Candida glabrata
0324	CAN-11	Drug Resistant Candida (species other than C. albicans ) Panel	Candida glabrata
0325	CAN-12	Drug Resistant Candida (species other than C. albicans ) Panel	Candida glabrata
0326	CAN-13	Drug Resistant Candida (species other than C. albicans ) Panel	Candida glabrata
0327	CAN-14	Drug Resistant Candida (species other than C. albicans ) Panel	Candida glabrata
0328	CAN-15	Drug Resistant Candida (species other than C. albicans ) Panel	Candida glabrata
0329	CAN-16	Drug Resistant Candida (species other than C. albicans ) Panel	Candida glabrata
0330	CAN-17	Drug Resistant Candida (species other than C. albicans ) Panel	Candida glabrata
0331	CAN-18	Drug Resistant Candida (species other than C. albicans ) Panel	Candida glabrata
0332	CAN-19	Drug Resistant Candida (species other than C. albicans ) Panel	Candida glabrata
0333	CAN-20	Drug Resistant Candida (species other than C. albicans ) Panel	Candida glabrata
0334	CAN-21	Drug Resistant Candida (species other than C. albicans ) Panel	Candida glabrata
0335	CAN-22	Drug Resistant Candida (species other than C. albicans ) Panel	Candida parapsilosis
0336	CAN-23	Drug Resistant Candida (species other than C. albicans ) Panel	Candida parapsilosis
0337	CAN-24	Drug Resistant Candida (species other than C. albicans ) Panel	Candida parapsilosis
0338	CAN-25	Drug Resistant Candida (species other than C. albicans ) Panel	Candida parapsilosis
0339	CAN-26	Drug Resistant Candida (species other than C. albicans ) Panel	Candida parapsilosis
0340	CAN-27	Drug Resistant Candida (species other than C. albicans ) Panel	Candida parapsilosis
0341	CAN-28	Drug Resistant Candida (species other than C. albicans ) Panel	Candida parapsilosis
0342	CAN-29	Drug Resistant Candida (species other than C. albicans ) Panel	Candida parapsilosis
0343	CAN-30	Drug Resistant Candida (species other than C. albicans ) Panel	Candida parapsilosis
0344	CAN-31	Drug Resistant Candida (species other than C. albicans ) Panel	Candida parapsilosis
0345	CAN-32	Drug Resistant Candida (species other than C. albicans ) Panel	Candida tropicalis
0346	NEW-01	Isolates with New or Novel Antibiotic Resistance	Escherichia coli
0347	NEW-02	Isolates with New or Novel Antibiotic Resistance	Klebsiella pneumoniae
0348	NEW-03	Isolates with New or Novel Antibiotic Resistance	Escherichia coli
0349	NEW-04	Isolates with New or Novel Antibiotic Resistance	Escherichia coli
0350	NEW-05	Isolates with New or Novel Antibiotic Resistance	Escherichia coli
0351	CTV-01	Ceftolozane/tazobactam Panel	Pseudomonas aeruginosa
0352	CTV-02	Ceftolozane/tazobactam Panel	Pseudomonas aeruginosa
0353	CTV-03	Ceftolozane/tazobactam Panel	Pseudomonas aeruginosa
0354	CTV-04	Ceftolozane/tazobactam Panel	Pseudomonas aeruginosa
0355	CTV-05	Ceftolozane/tazobactam Panel	Pseudomonas aeruginosa
0356	CTV-06	Ceftolozane/tazobactam Panel	Pseudomonas aeruginosa
0357	CTV-07	Ceftolozane/tazobactam Panel	Pseudomonas aeruginosa
0358	CTV-08	Ceftolozane/tazobactam Panel	Pseudomonas aeruginosa
0359	CTV-09	Ceftolozane/tazobactam Panel	Pseudomonas aeruginosa
0360	CTV-10	Ceftolozane/tazobactam Panel	Pseudomonas aeruginosa
0361	CTV-11	Ceftolozane/tazobactam Panel	Klebsiella pneumoniae
0362	CTV-12	Ceftolozane/tazobactam Panel	Klebsiella pneumoniae
0363	CTV-13	Ceftolozane/tazobactam Panel	Klebsiella pneumoniae
0364	CTV-14	Ceftolozane/tazobactam Panel	Klebsiella pneumoniae
0365	CTV-15	Ceftolozane/tazobactam Panel	Enterobacter cloacae
0366	CTV-16	Ceftolozane/tazobactam Panel	Enterobacter cloacae
0367	CTV-17	Ceftolozane/tazobactam Panel	Enterobacter cloacae
0368	CTV-18	Ceftolozane/tazobactam Panel	Escherichia coli
0369	CTV-19	Ceftolozane/tazobactam Panel	Escherichia coli
0370	CTV-20	Ceftolozane/tazobactam Panel	Escherichia coli
0371	CTV-21	Ceftolozane/tazobactam Panel	Escherichia coli
0372	CTV-22	Ceftolozane/tazobactam Panel	Escherichia coli
0373	CTV-23	Ceftolozane/tazobactam Panel	Escherichia coli
0374	CTV-24	Ceftolozane/tazobactam Panel	Escherichia coli
0375	CTV-25	Ceftolozane/tazobactam Panel	Klebsiella oxytoca
0376	CTV-26	Ceftolozane/tazobactam Panel	Klebsiella pneumoniae
0377	CTV-27	Ceftolozane/tazobactam Panel	Proteus mirabilis
0378	CTV-28	Ceftolozane/tazobactam Panel	Escherichia coli
0379	CTV-29	Ceftolozane/tazobactam Panel	Proteus mirabilis
0380	CTV-30	Ceftolozane/tazobactam Panel	Klebsiella oxytoca
0381	CAU-01	Candida auris Panel	Candida auris
0382	CAU-02	Candida auris Panel	Candida auris
0383	CAU-03	Candida auris Panel	Candida auris
0384	CAU-04	Candida auris Panel	Candida auris
0385	CAU-05	Candida auris Panel	Candida auris
0386	CAU-06	Candida auris Panel	Candida auris
0387	CAU-07	Candida auris Panel	Candida auris
0388	CAU-08	Candida auris Panel	Candida auris
0389	CAU-09	Candida auris Panel	Candida auris
0390	CAU-10	Candida auris Panel	Candida auris
0391	CAU-11	Candida auris Panel	Candida duobushaemulonii
0392	CAU-12	Candida auris Panel	Candida duobushaemulonii
0393	CAU-13	Candida auris Panel	Candida haemulonii
0394	CAU-14	Candida auris Panel	Candida duobushaemulonii 
0395	CAU-15	Candida auris Panel	Candida haemulonii
0396	CAU-16	Candida auris Panel	Kodameae ohmeri
0397	CAU-17	Candida auris Panel	Candida krusei
0398	CAU-18	Candida auris Panel	Candida lusitaniae
0399	CAU-19	Candida auris Panel	Saccharomyces cerevisiae
0400	CAU-20	Candida auris Panel	Saccharomyces cerevisiae
0401	GI-01	Enteric Pathogen Diversity Panel	Salmonella Albert
0402	GI-02	Enteric Pathogen Diversity Panel	Salmonella Cubana
0403	GI-03	Enteric Pathogen Diversity Panel	Salmonella Stanley
0404	GI-04	Enteric Pathogen Diversity Panel	Salmonella Heidelberg
0405	GI-05	Enteric Pathogen Diversity Panel	Salmonella Senftenberg
0406	GI-06	Enteric Pathogen Diversity Panel	Salmonella Corvallis
0407	GI-07	Enteric Pathogen Diversity Panel	Salmonella Concord
0408	GI-08	Enteric Pathogen Diversity Panel	Salmonella Typhimurium
0409	GI-09	Enteric Pathogen Diversity Panel	Salmonella Typhimurium
0410	GI-10	Enteric Pathogen Diversity Panel	Salmonella Infantis
0411	GI-11	Enteric Pathogen Diversity Panel	Campylobacter coli 
0412	GI-12	Enteric Pathogen Diversity Panel	Campylobacter jejuni
0413	GI-13	Enteric Pathogen Diversity Panel	Campylobacter jejuni
0414	GI-14	Enteric Pathogen Diversity Panel	Campylobacter jejuni
0415	GI-15	Enteric Pathogen Diversity Panel	Campylobacter jejuni 
0416	GI-16	Enteric Pathogen Diversity Panel	Campylobacter coli 
0417	GI-17	Enteric Pathogen Diversity Panel	Campylobacter coli 
0418	GI-18	Enteric Pathogen Diversity Panel	Campylobacter coli 
0419	GI-19	Enteric Pathogen Diversity Panel	Campylobacter jejuni
0420	GI-20	Enteric Pathogen Diversity Panel	Campylobacter coli
0421	GI-21	Enteric Pathogen Diversity Panel	Shigella flexneri
0422	GI-22	Enteric Pathogen Diversity Panel	Shigella sonnei
0423	GI-23	Enteric Pathogen Diversity Panel	Shigella flexneri
0424	GI-24	Enteric Pathogen Diversity Panel	Shigella flexneri
0425	GI-25	Enteric Pathogen Diversity Panel	Shigella flexneri 
0426	GI-26	Enteric Pathogen Diversity Panel	Shigella sonnei
0431	CZA-01	Ceftazidime/avibactam Panel	Enterobacter aerogenes
0432	CZA-02	Ceftazidime/avibactam Panel	Enterobacter cloacae
0433	CZA-03	Ceftazidime/avibactam Panel	Escherichia coli
0434	CZA-04	Ceftazidime/avibactam Panel	Escherichia coli
0435	CZA-05	Ceftazidime/avibactam Panel	Escherichia coli
0436	CZA-06	Ceftazidime/avibactam Panel	Escherichia coli
0437	CZA-07	Ceftazidime/avibactam Panel	Escherichia coli
0438	CZA-08	Ceftazidime/avibactam Panel	Klebsiella pneumoniae
0439	CZA-09	Ceftazidime/avibactam Panel	Pseudomonas aeruginosa
0440	CZA-10	Ceftazidime/avibactam Panel	Pseudomonas aeruginosa
0441	CZA-11	Ceftazidime/avibactam Panel	Pseudomonas aeruginosa
0443	CZA-13	Ceftazidime/avibactam Panel	Pseudomonas aeruginosa
0444	CZA-14	Ceftazidime/avibactam Panel	Pseudomonas aeruginosa
0445	CZA-15	Ceftazidime/avibactam Panel	Pseudomonas aeruginosa
0447	CZA-17	Ceftazidime/avibactam Panel	Pseudomonas aeruginosa
0448	CZA-18	Ceftazidime/avibactam Panel	Enterobacter cloacae
0449	CZA-19	Ceftazidime/avibactam Panel	Pseudomonas aeruginosa
0450	CZA-20	Ceftazidime/avibactam Panel	Escherichia coli
0451	CZA-21	Ceftazidime/avibactam Panel	Escherichia coli
0452	CZA-22	Ceftazidime/avibactam Panel	Escherichia coli
0453	CZA-23	Ceftazidime/avibactam Panel	Klebsiella pneumoniae
0455	CZA-25	Ceftazidime/avibactam Panel	Pseudomonas aeruginosa
0456	CZA-26	Ceftazidime/avibactam Panel	Pseudomonas aeruginosa
0457	CZA-27	Ceftazidime/avibactam Panel	Pseudomonas aeruginosa
0458	CZA-28	Ceftazidime/avibactam Panel	Pseudomonas aeruginosa
0459	CZA-29	Ceftazidime/avibactam Panel	Pseudomonas aeruginosa
861	CZA-31	Ceftazidime/avibactam Panel	Escherichia coli
